Localitate,Total,Români,Maghiari,Romi,Ucraineni,Germani,Ruși/lipoveni,Turci,Tătari,Sârbi,Slovaci,Bulgari,Croați,Greci,Evrei,Cehi,Polonezi,Italieni,Chinezi,Armeni,Ceangăi,Altă ethnie,Ethnie nedeclarată,Ortodox,Romano-catolic,Reformat?,Penticostal,Greco catolic?,Baptist,Adventist de ziua a șaptea,Musulman,Unitarian,Creștin după Evangelie,Crestin de rit vechi,Evanghelic lutheran sinodo-presbiterian,Evanghelic,Evanghelic de confesiune augustan,Mozaică,Altă religie,Fără religie,Atei,Religie nedeclarată,
725,Scutelnici (BZ),2645,2614,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,0,2,1,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0
726,Siriu (BZ),3246,3245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3193,1,0,0,0,4,0,0,0,47,0,0,0,0,0,1,0,0,0
727,Smeeni (BZ),7067,6931,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7052,1,1,3,0,5,2,0,0,0,0,0,0,0,0,2,1,0,0
728,Stalpu (BZ),3200,3120,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3182,11,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
729,Tintesti (BZ),4537,4440,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4497,0,0,3,0,0,29,0,0,8,0,0,0,0,0,0,0,0,0
730,Tisau (BZ),5176,5176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5159,0,0,4,0,0,3,0,0,2,0,0,6,0,0,0,0,0,2
731,Topliceni (BZ),4429,4404,3,21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4313,4,0,1,0,1,99,0,0,1,3,0,1,0,0,3,1,0,2
732,Ulmeni (BZ),3330,3255,4,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3306,4,1,13,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0
733,Vadu Pasii (BZ),9165,9127,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9119,0,1,7,5,0,26,0,0,3,0,0,1,0,0,0,3,0,0
734,Valcelele (BZ),1849,1784,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1761,9,1,0,0,15,50,0,0,0,0,0,0,0,0,0,13,0,0
