Localitate,Total,Români,Maghiari,Romi,Ucraineni,Germani,Ruși/lipoveni,Turci,Tătari,Sârbi,Slovaci,Bulgari,Croați,Greci,Evrei,Cehi,Polonezi,Italieni,Chinezi,Armeni,Ceangăi,Altă ethnie,Ethnie nedeclarată,Ortodox,Romano-catolic,Reformat?,Penticostal,Greco catolic?,Baptist,Adventist de ziua a șaptea,Musulman,Unitarian,Creștin după Evangelie,Crestin de rit vechi,Evanghelic lutheran sinodo-presbiterian,Evanghelic,Evanghelic de confesiune augustan,Mozaică,Altă religie,Fără religie,Atei,Religie nedeclarată,
1,Alba Iulia municipiul / Gyulafehérvár municípium (AB),66406,62722,1836,1475,11,217,1,12,0,2,1,9,3,5,20,0,0,45,5,1,2,30,9,58451,1661,855,1444,1744,1155,78,16,48,80,21,82,24,36,20,515,55,40,81
2,Aiud municipiul / Nagyenyed municípium (AB),28934,22596,4787,1464,5,44,7,2,0,1,0,4,1,2,1,2,2,3,0,0,1,12,0,22085,615,3780,297,1197,206,152,10,322,7,0,31,4,9,1,148,19,34,17
3,Blaj municipiul / Balázsfalva municípium (AB),20765,17091,1697,1900,1,63,0,0,0,0,0,2,0,0,2,0,1,4,0,1,0,1,2,14784,744,988,227,3397,394,0,3,15,95,0,21,13,15,2,49,9,6,3
4,Sebeº municipiul / Szászsebes municípium (AB),27698,25632,212,1385,3,420,0,0,0,1,1,0,0,1,0,0,1,39,0,0,0,3,0,25184,217,94,814,199,279,11,3,2,89,3,206,45,132,0,297,47,18,58
5,Abrud oraºul / Abrudbánya város (AB),6195,6080,76,33,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5779,59,52,45,32,142,8,0,2,8,2,1,0,0,0,49,6,0,10
6,Baia de Arieº oraºul / Aranyosbánya város (AB),4669,4617,39,9,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4526,16,12,11,25,35,1,0,16,0,5,1,1,0,0,13,1,2,4
7,Câmpeni oraºul / Topánfalva város (AB),8080,7810,14,248,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7790,15,3,59,120,67,3,0,3,0,0,3,4,0,0,8,5,0,0
8,Oraºul Cugir / Kudzsir város (AB),25977,25158,359,339,1,78,4,1,0,0,10,4,0,0,2,1,0,3,0,1,6,8,2,24001,360,112,398,338,279,19,1,4,65,40,27,31,1,2,211,49,13,26
9,Ocna Mureº oraºul / Marosújvár város (AB),15503,13198,1641,636,0,17,1,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,4,11903,338,1218,500,1036,139,127,0,22,5,0,6,3,0,1,149,26,7,23
10,Teiuº oraºul / Tövis város (AB),7284,6297,414,567,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5601,77,327,14,1129,42,19,0,4,5,13,3,0,1,0,44,2,1,2
11,Zlatna oraºul / Zalatna város (AB),8612,8367,57,179,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8319,72,34,17,34,51,3,2,0,0,1,3,1,0,0,52,15,4,4
12,Albac Comuna / Fehérvölgy község (AB),2220,2182,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
13,Almaºu Mare comuna / Nagyalmás község (AB),1690,1664,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1571,0,1,86,10,0,0,0,0,0,1,0,0,0,0,20,0,0,1
14,Comuna Arieºeni / Lepus község (AB),1921,1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812,1,0,100,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1
15,Avram Iancu comuna / Felsõvidra község (AB),1865,1772,1,90,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1630,0,0,123,0,88,0,0,0,0,0,0,0,1,0,17,2,1,3
16,Berghin comuna / Berve község (AB),2169,2035,14,86,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,24,4,32,5,37,0,0,0,10,0,0,0,33,0,0,0,0,0
17,Bistra comuna / Bisztra község (AB),5066,5045,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4960,1,0,0,74,14,3,0,0,0,0,0,0,0,0,11,1,1,1
18,Blandiana comuna / Maroskarna község (AB),1187,1174,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1091,5,0,6,0,56,0,0,0,0,0,0,0,0,0,27,0,0,2
19,Bucium comuna / Bucsony község (AB),1792,1791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,1,0,7,8,4,6,0,0,0,0,0,0,0,0,63,15,0,1
20,Câlnic comuna / Kelnek község (AB),3007,2584,8,409,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2860,10,1,48,0,0,12,0,0,73,0,1,0,0,0,0,2,0,0
21,Cenade comuna / Szászcsanád község (AB),1015,889,8,54,3,59,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,1,3,2,296,12,0,0,0,2,0,0,0,66,0,0,0,0,0
22,Cergãu comuna / Cserged község (AB),1747,1576,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1597,1,0,36,38,66,0,0,0,7,0,0,0,0,0,0,1,1,0
23,Ceru-Bãcãinþi comuna / Bokajfelfalu község (AB),376,375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Cetatea de Baltã comuna / Küküllõvár község (AB),3217,1725,625,836,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2299,19,582,64,170,21,1,0,3,30,0,1,0,27,0,0,0,0,0
25,Ciugud comuna / Maroscsüged község (AB),2664,2643,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2435,5,6,40,9,83,1,0,0,73,0,0,0,0,0,8,3,1,0
26,Ciuruleasa comuna / Csuruleásza község (AB),1368,1368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1261,0,0,63,0,36,2,0,0,0,0,0,0,0,0,5,1,0,0
27,Crãciunelu de Jos comuna / Alsókarácsonfalva község (AB),4392,3625,704,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3456,5,659,22,176,73,0,0,0,0,0,0,0,0,0,1,0,0,0
28,Cricãu comuna / Boroskrakkó község (AB),2097,2068,8,11,0,1,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1957,9,2,12,17,96,1,0,0,0,0,0,0,0,0,2,0,0,1
29,Daia Românã c. / Oláhdálya község (AB),3109,3103,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2531,5,5,90,227,34,0,0,0,0,0,0,0,0,0,214,3,0,0
30,Doºtat comuna / Hosszútelke község (AB),1072,1060,1,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,0,0,38,4,0,0,0,0,6,0,2,4,0,0,2,0,0,0
31,Fãrãu c. / Magyarforró község (AB),1909,1373,481,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1226,6,441,150,38,0,5,0,11,0,0,0,1,0,0,24,4,0,3
32,Galda de Jos / Alsógáld község (AB),4882,4277,553,38,0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4190,52,504,19,71,2,27,1,0,0,1,2,0,0,0,8,1,0,4
33,Gârbova c. / Szászorbó község (AB),2059,1848,6,164,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,0,4,164,4,18,3,0,0,130,0,0,0,28,0,1,0,0,0
34,Gârda de Sus c. / Felsõgirda község (AB),1865,1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1855,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,4
35,Hopârta c. / Háporton közég (AB),1372,1212,8,151,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,6,3,6,73,13,0,0,0,0,0,0,0,0,0,0,0,0,0
36, Horea c. / Horea község (AB),2371,2352,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Ighiu c. / Magyarigen község (AB),6432,6170,30,227,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5847,14,24,334,91,83,2,0,1,18,0,1,0,2,0,12,1,0,2
38,Întregalde c. / Havasgáld község (AB),877,875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,855,0,2,2,3,0,14,0,0,1,0,0,0,0,0,0,0,0,0
39,Jidvei / Zsidve község (AB),5244,4245,145,758,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4453,5,106,100,447,0,0,1,2,0,0,23,0,88,0,17,0,1,1
40,Livezile / Úrháza község (AB),1526,1506,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1464,3,1,0,42,1,0,1,3,0,0,0,0,0,0,8,1,1,1
41,Lopadea Nouã / Magyarlapád község (AB),3001,1395,1599,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1349,14,1590,4,40,2,0,0,1,0,0,0,0,0,0,0,1,0,0
42,Lunca Mureºului c. / Székelykocsárd község (AB),2669,1719,755,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709,59,713,63,24,24,15,1,7,3,0,0,0,0,0,31,14,6,0
43,Lupºa c. / Nagylupsa község (AB),3867,3863,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3835,0,0,12,5,2,1,0,0,0,0,0,0,0,0,12,0,0,0
44,Meteº c. / Metesd község (AB),3181,3165,2,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969,0,0,43,2,41,30,0,0,35,0,1,0,4,0,44,10,0,2
45,Mihalþ c. / Mihálcfalva község (AB),3679,3616,13,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3188,3,4,4,431,37,8,0,0,0,0,0,0,0,0,2,0,0,2
46,Mirãslãu c. / Miriszló község (AB),2334,1667,627,38,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1549,14,583,8,93,38,1,0,1,0,0,0,0,0,0,44,0,0,3
47,Mogoº / Mogos község (AB),1114,1112,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1105,0,0,0,1,1,1,0,0,1,0,0,0,0,0,5,0,0,0
48,Noºlac c. / Marosnagylak község (AB),2035,1550,389,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,5,349,28,13,56,4,0,2,0,0,0,0,11,0,8,1,0,0
49,Ocoliº c. / Alsóaklos község (AB),846,843,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
50,Ohaba c. / Székásszabadja község (AB),920,914,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759,0,1,8,55,96,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Pianu c. / Pián község (AB),3390,3337,6,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3285,5,0,41,9,5,0,0,0,0,0,24,4,0,0,0,0,1,16
52,Poiana Vadului c. / Feketevölgy község (AB),1304,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,85,1,5,1,0,0,1,0,0,0,0,0,62,6,1,6
53,Ponor c. / Nagyponor község (AB),697,695,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681,0,2,0,0,6,0,0,0,0,0,0,0,0,0,8,0,0,0
54,Poºaga c. / Podsága község (AB),1383,1382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1222,0,0,0,153,0,0,0,0,0,0,0,0,0,0,5,0,0,3
55,Rãdeºti c. / Tompaháza község (AB),1398,1088,292,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,1,299,2,196,3,0,0,1,0,0,0,0,0,0,5,0,0,0
56,Râmeþ c. / Remete község (AB),751,751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,Rimetea c. / Torockó község (AB),1213,145,1059,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,32,60,10,0,0,0,0,924,0,0,0,0,0,0,34,0,0,0
58,Roºia de Secaº / Székásveresegyháza község (AB),1696,1550,5,130,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1498,9,0,108,6,57,0,0,0,9,0,9,0,0,0,0,0,0,0
59,Roºia Montanã c. / Verespatak község (AB),3872,3518,55,289,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,3322,154,5,128,102,60,2,0,30,24,0,0,0,0,0,10,23,1,11
60,Sãlciua c. / Szolcsva község (AB),1785,1780,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1753,2,0,0,16,0,0,0,0,0,0,0,0,0,0,12,0,1,1
61,Sãliºtea c. / Alsócsóra község (AB),2374,2365,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2103,0,1,220,0,6,2,0,0,37,0,0,0,0,0,3,2,0,0
62,Sâncel c. / Szancsal község (AB),2790,2532,13,243,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2581,1,2,4,193,2,0,0,0,2,0,0,0,0,1,0,4,0,0
63,Sântimbru c. / Marosszentimre (AB),2740,2664,27,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,15,10,31,274,8,6,0,0,0,0,0,0,0,0,14,0,0,0
64,Sãsciori c. / Szászcsór község (AB),5954,5937,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5590,1,0,288,2,7,0,0,1,6,0,2,0,0,0,45,0,0,12
65,Scãriºoara c. / Aranyosfõ község (AB),1850,1622,1,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1841,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,ªibot c. / Alkenyér község (AB),2480,2437,9,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2279,7,2,16,43,17,0,0,0,0,0,0,0,0,0,101,6,0,9
67,Sohodol c. / Aranyosszohodol község (AB),2085,2066,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,0,1,5,16,35,0,0,0,1,0,0,0,0,0,4,0,0,0
68,ªona c. / Szépmezõ község (AB),4514,3046,1176,261,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3098,15,739,4,203,8,3,0,380,10,0,20,1,6,0,23,3,0,1
69,ªpring c. / Spring község (AB),2536,2423,0,91,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2355,1,0,3,4,9,0,0,0,131,0,29,0,0,0,3,0,0,1
70,Stremþ c. / Diód község (AB),2822,2794,20,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2771,2,4,11,13,0,9,0,2,1,0,1,0,0,0,8,0,0,0
71,ªugag c. / Sugág község (AB),3239,3211,25,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3179,21,8,24,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0
72,Unirea c. / Felvinc község (AB),5506,4096,660,747,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4228,109,540,234,291,16,3,10,7,0,0,0,0,0,0,64,3,0,1
73,Vadu Moþilor c. / Aranyosvágás község (AB),1558,1558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489,0,0,4,0,18,5,0,0,4,0,0,0,0,0,32,6,0,0
74,Valea Lungã c. / Hosszúaszó község (AB),3271,2952,99,184,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2526,35,52,70,527,7,1,0,3,1,0,1,0,35,0,7,0,0,6
75,Vidra c. / Alsóvidra község (AB),1964,1963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,1,0,102,13,34,0,0,0,0,0,0,0,0,0,4,0,0,3
76,Vinþu de Jos c. / Alvinc község (AB),5295,5108,76,90,1,8,0,6,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,4962,74,16,149,26,5,22,5,0,1,1,4,1,1,0,12,8,0,8
77,Arad municipiul / Arad municípium (AR),172827,142968,22492,3004,114,2247,30,44,9,605,450,251,8,9,157,59,28,179,14,6,11,136,6,125595,20971,5406,7523,1834,7831,836,90,91,99,65,532,140,157,169,848,285,180,175
78,Chiºineu-Criº oraºul / Kisjenõ város (AR),8343,6007,2006,261,2,35,0,0,0,3,25,1,0,0,1,0,0,0,0,0,0,2,0,5829,724,1306,86,22,298,42,0,0,1,0,15,1,2,2,10,4,1,0
79,Curtici oraºul / Kürtös város (AR),9722,6776,1854,1039,16,19,0,1,0,4,0,4,0,0,4,0,1,3,0,0,0,1,0,6197,1893,23,721,14,705,146,0,0,2,0,4,0,2,3,8,1,1,2
80,Ineu oraºul / Borosjenõ város (AR),10207,8740,860,517,5,47,0,0,0,1,29,0,0,4,0,1,0,2,0,0,0,1,0,8307,891,110,349,37,250,115,1,1,4,0,38,3,8,33,41,11,3,5
81,Lipova oraºul / Lippa város (AR),11236,10349,491,113,16,214,0,1,0,7,18,10,5,0,1,3,0,2,0,0,0,0,6,8767,915,69,1016,39,289,38,1,1,7,0,0,5,2,1,54,5,4,23
82,Nãdlac oraºul / Nagylak város (AR),8144,3696,264,218,47,30,1,0,0,15,3844,2,0,5,5,12,2,1,0,0,0,2,0,3275,1146,52,316,213,96,3,1,3,0,20,2838,0,154,0,23,0,3,1
83,Pâncota oraºul / Pankota város (AR),7186,5699,604,589,50,216,0,0,0,0,22,0,0,0,1,0,0,2,0,0,2,1,0,4531,731,139,1225,15,256,140,0,2,7,0,7,1,4,0,92,10,0,26
84,Sebiº oraºul / Borossebes város (AR),6327,5761,186,342,0,10,0,2,0,3,4,0,1,0,1,1,0,16,0,0,0,0,0,4591,133,95,842,12,608,20,2,0,0,0,3,1,2,6,3,3,2,4
85,Almaº c. / Háromalmás község (AR),3009,2897,6,101,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2048,5,0,629,2,321,2,0,0,0,0,0,0,0,0,0,0,0,2
86,Apateu c. / Apáti község (AR),3684,3493,7,183,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3291,2,1,76,3,88,220,0,0,0,0,0,0,0,0,0,3,0,0
87,Archiº c. / Bélárkos község (AR),1699,1612,4,75,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,4,1,74,2,266,132,0,0,0,18,0,0,0,0,1,0,0,0
88,Bârsa c. / Barza község (AR),1920,1881,14,22,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1678,4,1,118,1,95,18,0,0,0,0,0,0,0,0,3,2,0,0
89,Bârzava c. / Marosborsa község (AR),3019,2959,12,30,8,5,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2594,11,2,207,112,57,8,0,1,0,0,0,0,0,0,26,0,0,1
90,Bata c. / Batta község (AR),1226,1221,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1010,118,7,61,0,22,5,0,0,2,0,0,0,0,0,0,0,1,0
91,Beliu c. / Bél község (AR),3320,3017,72,148,80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,95,8,112,224,241,132,0,0,0,0,0,0,0,0,7,16,0,0
92,Birchiº c. / Marosberkes község (AR),2044,1793,10,237,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,7,4,100,1,97,5,0,0,0,0,0,0,0,0,1,1,0,0
93,Bocsig / Bokszeg (AR),3553,3210,95,242,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2709,74,21,154,415,110,22,0,0,0,10,1,1,0,0,35,0,1,0
94,Brazii c. / Raj község (AR),1417,1406,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,1,0,519,0,63,0,0,0,0,0,0,0,0,0,8,0,0,0
95,Buteni c. / Körösbökény község (AR),3472,3400,25,24,0,11,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,0,2956,36,3,152,4,313,4,1,0,0,0,0,0,0,0,3,0,0,0
96,Cãrand c. / Hévizkáránd község (AR),1320,1182,3,124,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,779,2,1,239,3,288,8,0,0,0,0,0,0,0,0,0,0,0,0
97,Cermei c. / Csermõ község (AR),2856,2498,198,133,0,16,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,2426,207,30,12,4,58,117,0,0,0,0,1,0,0,0,0,0,0,1
98,Chisindia c. / Keszend község (AR),1580,1552,3,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1397,3,1,104,2,68,5,0,0,0,0,0,0,0,0,0,0,0,0
99,Conop c. / Konop község (AR),2342,2304,12,0,9,5,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,3,0,2002,9,4,277,4,33,1,2,2,0,0,1,0,2,0,2,1,2,0
100,Covãsinþ c. / Kovászi község (AR),2659,2012,15,625,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2100,18,3,249,3,123,156,0,0,0,6,0,0,0,0,0,0,1,0
101,Craiva c. / Bélkirálymezõ község (AR),3118,2789,4,260,63,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2541,117,0,156,1,218,34,1,0,0,0,0,0,0,0,47,3,0,0
102,Dezna c. / Dézna község (AR),1523,1495,10,11,1,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1330,8,3,65,0,103,12,0,0,0,0,0,0,0,0,0,0,1,1
103,Dieci c. / Décse község (AR),1754,1730,0,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,1,0,111,0,210,0,0,0,3,0,0,0,0,0,6,0,0,0
104,Dorgoº c. / Dorgos község (AR),1388,1352,6,14,13,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1003,5,3,333,1,1,24,0,0,0,11,0,3,0,0,0,4,0,0
105,Fântânele c. / Angyalkút község (AR),5692,4975,378,31,16,112,6,1,0,6,159,2,0,0,0,1,0,3,0,0,0,2,0,4586,448,199,265,12,143,9,0,0,16,2,2,2,2,0,6,0,0,0
106,Felnac c. / Fönlak község (AR),5182,4524,99,261,28,35,0,1,0,221,9,2,0,0,0,0,1,0,0,0,0,1,0,4503,93,23,444,29,64,12,1,0,1,0,2,0,0,0,3,2,1,4
107,Ghioroc c. / Gyorok község (AR),4065,3300,695,13,27,22,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,5,0,2710,689,65,160,6,92,317,0,3,0,1,0,0,0,1,10,5,2,4
108,Grãniceri c. / Ottlaka község (AR),2596,2329,34,192,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371,63,4,43,0,71,43,0,0,0,0,0,0,0,0,0,0,0,1
109,Gurahonþ c. / Honctõ község (AR),4506,4399,15,44,40,5,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3516,36,5,542,2,391,0,0,0,0,0,0,0,0,0,1,7,1,5
110,Hãlmãgel c. / Kishalmágy község (AR),1656,1656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,4,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0
111,Hãlmagiu c. / Nagyhalmágy község (AR),3562,3559,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3428,5,0,73,5,45,4,0,0,0,0,0,0,0,0,0,0,2,0
112,Hãºmaº c. / Bélhagymás község (AR),1460,1404,0,53,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1058,0,0,68,3,173,148,0,0,0,0,0,0,0,0,2,5,0,3
113,Igneºti c. / Ignafalva község (AR),822,817,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,1,0,50,0,24,120,0,0,0,0,0,0,0,0,10,2,0,0
114,Iratoºu c. / Nagyiratos község (AR),2361,984,1301,58,8,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,974,1236,70,7,10,55,8,0,0,0,0,0,0,0,0,1,0,0,0
115,Livada c. / Fakert község (AR),2892,2506,327,6,0,43,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,7,0,1896,162,208,534,24,49,4,0,0,1,0,0,0,0,0,3,8,2,1
116,Macea c. / Mácsa község (AR),6169,5281,204,514,7,136,1,0,0,1,19,1,0,1,1,0,0,2,0,0,0,1,0,4831,392,32,205,23,241,413,0,0,13,0,0,3,0,1,3,8,0,4
117,Miºca c. / Tõzmiske község (AR),3546,1311,1436,770,0,25,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1547,739,662,281,4,203,45,0,11,0,0,28,1,0,0,8,14,0,3
118,Moneasa c. / Menyháza község (AR),1056,1032,18,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,950,17,7,36,0,42,0,0,0,0,0,0,0,0,0,0,0,0,4
119,Olari c. / Varsánd község (AR),1942,1013,645,156,21,5,0,1,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,1126,184,13,53,1,3,0,0,5,0,0,555,0,0,0,2,0,0,0
120,Pãuliº c. / Ópálos község (AR),4148,3830,132,112,5,53,0,0,0,2,8,2,0,0,0,0,0,0,0,0,0,4,0,2905,178,33,702,14,249,28,0,5,0,1,1,4,1,0,21,1,3,2
121,Pecica c. / Ópécska község (AR),13024,7431,4242,1092,48,39,0,0,3,78,73,7,0,0,1,1,0,2,0,0,0,0,7,7685,4279,205,520,52,202,22,0,4,3,3,13,4,6,0,8,7,2,9
122,Peregu Mare c. / Németpereg község (AR),1800,389,838,24,65,83,0,0,0,0,329,0,1,0,0,69,0,0,0,0,0,2,0,354,205,846,8,361,9,0,0,0,0,1,14,0,1,0,0,0,0,1
123,Petriº c. / Marospetres község (AR),1871,1855,10,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1490,10,2,294,2,52,5,1,0,2,2,0,0,0,1,0,2,0,8
124,Pilu c. / Nagypél község (AR),1976,1660,148,160,0,2,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1652,146,8,108,6,23,21,1,0,1,0,0,0,0,0,9,0,0,1
125,Pleºcuþa c. / Peleskefalva község (AR),1498,1439,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1179,1,0,110,0,202,0,0,0,0,0,0,0,0,0,4,2,0,0
