"JUD" "DEN_JUD" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ASOCIAÞIA ITALIENILOR DIN ROMÂNIA - RO.AS.IT." "FEDERAÞIA COMUNITÃÞILOR EVREIEªTI DIN ROMÂNIA" "UNIUNEA POLONEZILOR DIN ROMÂNIA" "ASOCIAÞIA LIGA ALBANEZILOR DIN ROMÂNIA" "COMUNITATEA RUªILOR LIPOVENI DIN ROMÂNIA" "UNIUNEA DEMOCRATICÃ A SLOVACILOR ªI CEHILOR DIN ROMÂNIA" "UNIUNEA UCRAINENILOR DIN ROMÂNIA" "UNIUNEA BULGARÃ DIN BANAT - ROMÂNIA" "FORUMUL DEMOCRAT AL GERMANILOR DIN ROMÂNIA" "ASOCIAÞIA PARTIDA ROMILOR PRO-EUROPA" "UNIUNEA CROAÞILOR DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ TURCÃ DIN ROMÂNIA" "UNIUNEA ELENÃ DIN ROMÂNIA" "UNIUNEA DEMOCRATÃ A TÃTARILOR TURCO-MUSULMANI DIN ROMÂNIA" "UNIUNEA ARMENILOR DIN ROMÂNIA" "UNIUNEA CULTURALÃ A RUTENILOR DIN ROMÂNIA" "ASOCIAÞIA MACEDONENILOR DIN ROMÂNIA" "UNIUNEA SÂRBILOR DIN ROMÂNIA" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL ALIANÞA SOCIALISTÃ" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "BIHOR_ 5_NOANE GHEORGHE-VIOREL" "BRAªOV_ 1_HUTOPILÃ VIOLETA" "CLUJ_ 1_ALEXA LIVIU-DORU-ALIN" "DÂMBOVIÞA_ 8_PETRE IONEL" "HUNEDOARA_ 2_POPA GHEORGHE-GABRIEL" "IAªI_ 6_RAªCU BENONI" "OLT_ 3_DRÃGHICESCU DRAGOª-NICOLAE" "OLT_ 2_STAN NICOLAE" "TIMIª_ 4_GOCIU ADRIAN" "Mun. BUCUREªTI_16_PIPEREA GHEORGHE" "Mun. BUCUREªTI_17_FILIP CONSTANTIN"
13 "CLUJ" 600947 596271 3570 1106 219435 214797 3570 1068 656802 437372 212832 5065 1520 98340 27650 49230 5246 22116 149 290 73 189 74 92 159 203 713 915 117 74 201 105 289 94 184 115 3587 130 0 0 0 0 0 0 0 2497 0 0 0 0 0 0 0 0
14 "CONSTANÞA" 634512 629530 4351 631 277458 272479 4350 629 693659 416205 265979 8941 2525 160721 588 41262 4308 43563 252 334 263 222 754 124 210 189 629 515 116 1247 639 4727 380 146 654 117 0 3917 0 0 102 0 0 0 0 0 0 0 0 0 0 0 0 0
15 "COVASNA" 185680 183321 1374 985 73126 70783 1374 969 202983 129857 70230 1982 914 10046 40352 2819 574 2936 67 33 27 107 12 65 191 33 241 960 27 49 108 55 54 91 77 34 10812 460 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 "DÂMBOVIÞA" 437614 433728 3000 886 202629 198755 2999 875 478594 275982 193587 6761 2252 118487 232 37582 313 30768 196 296 369 370 67 108 144 307 873 908 214 215 282 162 317 128 335 187 0 0 0 386 0 0 0 0 0 0 341 0 0 0 0 0 0 0
17 "DOLJ" 590825 584355 3183 3287 278915 272584 3183 3148 655686 376771 268805 7250 2859 177133 719 42309 1150 40229 204 384 141 551 189 61 104 180 912 700 137 185 258 74 217 66 642 200 0 2060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
18 "GALAÞI" 526661 520343 4047 2271 221204 214917 4046 2241 575781 354582 211685 6848 2651 138527 887 27229 2464 32725 337 329 103 337 225 159 226 103 532 923 162 134 564 143 290 91 390 409 0 4396 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
19 "GIURGIU" 231492 228384 2005 1103 115116 112009 2005 1102 251994 136878 110279 3598 1239 78456 191 10863 727 17271 151 94 104 174 56 120 141 69 186 266 167 73 124 87 144 96 208 111 0 271 0 129 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20 "GORJ" 307334 304674 2174 486 162751 160094 2174 483 336978 174227 158000 3342 1408 87503 574 16954 1726 48718 94 293 245 139 31 66 109 137 365 196 75 93 127 30 76 126 233 90 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
21 "HARGHITA" 270744 267755 1767 1222 120057 117080 1767 1210 311693 191639 116084 2768 1192 10683 82814 2507 405 724 58 62 15 93 36 43 120 104 132 403 89 38 116 23 216 61 49 86 17069 0 0 138 0 0 0 0 0 0 0 0 0 0 0 0 0 0
22 "HUNEDOARA" 406821 402340 3802 679 175701 171221 3802 678 442858 267189 170145 4520 956 104928 4674 19743 5750 28038 165 137 64 169 74 184 85 185 446 379 128 159 102 119 143 454 323 56 0 0 1200 0 0 0 0 0 0 0 0 2440 0 0 0 0 0 0
23 "IALOMIÞA" 241080 238409 1663 1008 99779 97137 1662 980 263095 163026 95506 2651 1618 56409 149 15489 224 19465 118 76 43 129 94 151 209 133 349 355 88 68 129 88 94 68 349 76 0 972 0 181 0 0 0 0 0 0 0 0 0 0 0 0 0 0
