"JUD" "DEN_JUD" "numarColegiu" "numeTipColegiu" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
10 "BUZÃU" 2 "SENAT" 105624 103651 971 1002 50562 48594 971 997 115172 64610 48417 1195 950 35140 111 4359 806 8001 0 0 0 0 0 0 0 0
10 "BUZÃU" 3 "SENAT" 155646 153450 1227 969 63097 60902 1227 968 170414 107317 59771 1760 1566 40568 188 8185 1483 9347 0 0 0 0 0 0 0 0
11 "CARAª-SEVERIN" 1 "SENAT" 127392 126155 938 299 42347 41110 938 299 146742 104397 40647 1312 382 23799 562 6319 1205 8688 74 0 0 0 0 0 0 0
11 "CARAª-SEVERIN" 2 "SENAT" 154786 152344 1269 1173 65512 63076 1268 1168 178875 113366 63357 1488 660 41677 346 8195 1152 11987 0 0 0 0 0 0 0 0
12 "CÃLÃRAªI" 1 "SENAT" 166156 163039 2258 859 75393 72331 2213 849 181506 106112 72185 1922 1286 45313 272 12841 1577 12182 0 0 0 0 0 0 0 0
12 "CÃLÃRAªI" 2 "SENAT" 97316 95935 1018 363 46284 44904 1018 362 106504 60220 44375 1238 671 32650 141 4145 727 6712 0 0 0 0 0 0 0 0
13 "CLUJ" 1 "SENAT" 132782 132250 462 70 53951 53419 462 70 145190 91242 52778 999 170 22277 6608 18806 1606 2637 844 0 0 0 0 0 0 0
13 "CLUJ" 2 "SENAT" 139762 139240 465 57 50791 50269 465 57 153232 102445 49509 1042 235 22498 7677 13042 1401 3610 1281 0 0 0 0 0 0 0
13 "CLUJ" 3 "SENAT" 172568 170417 1475 676 61648 59512 1475 661 188238 126590 59456 1357 835 33643 6020 8742 1481 8754 816 0 0 0 0 0 0 0
13 "CLUJ" 4 "SENAT" 155835 154364 1168 303 53045 51597 1168 280 169991 116948 51217 1156 670 22782 7821 11095 1411 6953 1155 0 0 0 0 0 0 0
14 "CONSTANÞA" 1 "SENAT" 144191 142777 1238 176 58485 57071 1238 176 157254 98769 55976 1720 788 37305 159 5455 1225 11832 0 0 0 0 0 0 0 0
14 "CONSTANÞA" 2 "SENAT" 168957 167200 1465 292 74023 72269 1464 290 184428 110405 70612 1935 1473 44517 212 9657 1421 14805 0 0 0 0 0 0 0 0
14 "CONSTANÞA" 3 "SENAT" 178464 177488 877 99 78481 77505 877 99 195675 117194 75645 2225 611 50520 368 11999 1735 11023 0 0 0 0 0 0 0 0
14 "CONSTANÞA" 4 "SENAT" 142900 142065 771 64 66469 65634 771 64 156331 89861 63676 2326 467 37419 403 15369 0 9071 0 0 0 0 0 1414 0 0
15 "COVASNA" 1 "SENAT" 99173 98213 678 282 39402 38452 678 272 108432 69030 37642 779 981 5008 21314 912 364 1791 7367 886 0 0 0 0 0 0
15 "COVASNA" 2 "SENAT" 86507 85108 696 703 33724 32331 696 697 94534 60810 31895 756 1073 5953 19711 1871 820 0 3540 0 0 0 0 0 0 0
16 "DÂMBOVIÞA" 1 "SENAT" 156540 155222 879 439 69193 67883 878 432 171374 102185 66439 1612 1137 44972 91 10448 0 10304 0 624 0 0 0 0 0 0
16 "DÂMBOVIÞA" 2 "SENAT" 132374 131367 938 69 58765 57758 938 69 144987 86222 56084 2101 576 31548 189 11338 0 12370 0 0 0 0 639 0 0 0
16 "DÂMBOVIÞA" 3 "SENAT" 148700 147139 1183 378 74671 73114 1183 374 162628 87964 71135 1891 1638 45622 176 14609 0 10728 0 0 0 0 0 0 0 0
17 "DOLJ" 1 "SENAT" 135678 135001 462 215 59389 58717 462 210 148198 88809 57753 1329 307 32820 140 9171 603 14395 0 624 0 0 0 0 0 0
17 "DOLJ" 2 "SENAT" 137228 136847 308 73 58418 58037 308 73 149493 91075 56794 1366 258 40015 154 8744 0 6921 0 960 0 0 0 0 0 0
17 "DOLJ" 3 "SENAT" 97850 96135 753 962 52393 50722 753 918 111811 59418 50320 1085 988 34666 123 7464 0 7861 0 206 0 0 0 0 0 0
17 "DOLJ" 4 "SENAT" 87906 86764 562 580 39567 38455 562 550 97785 58218 37933 812 822 22764 129 7314 0 7517 0 209 0 0 0 0 0 0
17 "DOLJ" 5 "SENAT" 132163 129608 1098 1457 69148 66653 1098 1397 148532 79384 66186 1280 1682 46833 202 9065 0 9833 0 253 0 0 0 0 0 0
18 "GALAÞI" 1 "SENAT" 159822 157038 2210 574 67111 64330 2209 572 174277 107165 64119 1752 1240 42451 245 7301 1136 12986 0 0 0 0 0 0 0 0
18 "GALAÞI" 2 "SENAT" 102704 100392 750 1562 47293 45008 750 1535 112416 65123 45376 968 949 33917 195 3534 0 7730 0 0 0 0 0 0 0 0
18 "GALAÞI" 3 "SENAT" 130137 129465 580 92 53996 53325 580 91 142732 88736 52100 1628 267 32590 200 9132 1030 6996 0 2152 0 0 0 0 0 0
18 "GALAÞI" 4 "SENAT" 133998 133448 507 43 52804 52254 507 43 146383 93579 50885 1656 254 32911 148 6449 1072 7693 0 2612 0 0 0 0 0 0
19 "GIURGIU" 1 "SENAT" 119020 117175 1024 821 60618 58773 1024 821 129575 68957 58087 1877 654 41400 169 4013 1227 11278 0 0 0 0 0 0 0 0
19 "GIURGIU" 2 "SENAT" 112472 111209 981 282 54498 53236 981 281 122419 67921 52315 1238 945 36028 145 6280 621 9241 0 0 0 0 0 0 0 0
20 "GORJ" 1 "SENAT" 153441 152096 1101 244 84946 83603 1101 242 168033 83087 82624 1649 673 45040 395 9015 1495 26679 0 0 0 0 0 0 0 0
20 "GORJ" 2 "SENAT" 153893 152578 1073 242 77805 76491 1073 241 168997 91192 75475 1377 953 43048 396 5526 1114 25391 0 0 0 0 0 0 0 0
21 "HARGHITA" 1 "SENAT" 114355 113150 656 549 51353 50155 656 542 131699 80345 49830 1002 521 3497 37625 817 0 779 7112 0 0 0 0 0 0 0
21 "HARGHITA" 2 "SENAT" 156389 154605 1111 673 68704 66925 1111 668 179990 111286 66580 1166 956 6722 45472 1816 0 1933 10637 0 0 0 0 0 0 0
22 "HUNEDOARA" 1 "SENAT" 118064 117240 765 59 50374 49550 765 59 128826 78422 48555 1437 371 29630 1772 2784 1736 12633 0 0 0 0 0 0 0 0
22 "HUNEDOARA" 2 "SENAT" 109322 107768 1306 248 46090 44537 1306 247 119578 73492 44384 1059 638 26285 508 8286 2308 6501 0 0 0 0 0 0 496 0
22 "HUNEDOARA" 3 "SENAT" 179435 177332 1731 372 79237 77134 1731 372 195292 116069 76864 1812 540 53386 2860 10095 2063 7332 500 0 0 0 0 0 628 0
23 "IALOMIÞA" 1 "SENAT" 126391 125077 896 418 52456 51154 895 407 138111 85655 50646 1101 709 31974 210 5522 0 11021 0 1919 0 0 0 0 0 0
23 "IALOMIÞA" 2 "SENAT" 114689 113332 767 590 47323 45983 767 573 125407 78082 44962 1207 1153 26316 142 9534 0 8970 0 0 0 0 0 0 0 0
24 "IAªI" 1 "SENAT" 164757 162689 1368 700 65403 63350 1367 686 181838 116391 61217 1867 2303 41048 132 9448 898 9185 0 0 506 0 0 0 0 0
24 "IAªI" 2 "SENAT" 118170 116981 900 289 40662 39478 900 284 130194 89532 38048 1210 1404 26360 194 3478 0 8016 0 0 0 0 0 0 0 0
24 "IAªI" 3 "SENAT" 122493 121362 923 208 46797 45669 922 206 134749 87953 44365 1321 1109 32194 107 5690 0 6374 0 0 0 0 0 0 0 0
24 "IAªI" 4 "SENAT" 126404 125695 572 137 51103 50394 572 137 140939 89816 49095 1735 269 30483 177 9879 1536 7020 0 0 0 0 0 0 0 0
24 "IAªI" 5 "SENAT" 158369 157455 569 345 59660 58835 567 258 174877 115219 57601 1683 348 36364 162 11147 1339 8589 0 0 0 0 0 0 0 0
25 "ILFOV" 1 "SENAT" 145247 143268 1736 243 61427 59449 1736 242 157671 96244 59386 1586 452 44309 111 6173 1064 7434 0 0 0 0 295 0 0 0
25 "ILFOV" 2 "SENAT" 142543 141238 1239 66 60661 59356 1239 66 155501 94841 58511 1691 447 41016 147 7755 0 9170 0 0 0 0 423 0 0 0
