"JUD" "DEN_JUD" "DEN_CIRC" "NrAlegatoriListe" "NrAlegatoriListePermanent" "NrAlegatoriListeSuplimentare" "NrAlegatoriUrnaSpeciala" "NrAlegatoriPrezentatiLaUrne" "NrAlegatoriPrezentiLaUrneListaPermanenta" "NrAlegatoriPrezentiLaUrneListaSuplimentara" "NrAlegatoriPrezentiLaUrneListaSpeciala" "NrBuletineVotPrimite" "NrBuletineVotAnulate" "TotalVoturiValabilExprimateLaNivelSectie" "NrVoturiNule" "NrVoturiAlbe" "UNIUNEA SOCIAL LIBERALÃ" "UNIUNEA DEMOCRATÃ MAGHIARÃ DIN ROMÂNIA" "ALIANÞA ROMÂNIA DREAPTÃ" "PARTIDUL ROMÂNIA MARE" "PARTIDUL POPORULUI - DAN DIACONESCU" "ERDÉLYI MAGYAR NÉPPÁRT - PARTIDUL POPULAR MAGHIAR DIN TRANSILVANIA" "PARTIDUL ECOLOGIST ROMÂN" "PARTIDUL SOCIAL DEMOCRAT AL MUNCITORILOR" "PARTIDUL NAÞIONAL DEMOCRAT CREªTIN" "PARTIDUL POPULAR" "PARTIDUL POPULAR ªI AL PROTECÞIEI SOCIALE" "PARTIDUL ALIANÞA SOCIALISTÃ" "BOTOªANI_3_CONÞAC CONSTANTIN"
1 "ALBA" "LUNCA MUREªULUI" 2064 2046 10 8 716 698 10 8 2270 1554 686 12 18 189 134 102 0 255 6 0 0 0 0 0 0 0
1 "ALBA" "LUPªA" 2705 2678 27 0 1340 1313 27 0 3050 1710 1290 16 34 793 4 145 58 287 3 0 0 0 0 0 0 0
1 "ALBA" "METEª" 2552 2507 34 11 1011 966 34 11 2799 1788 958 26 27 614 12 159 21 149 3 0 0 0 0 0 0 0
1 "ALBA" "MIHALÞ" 2869 2848 18 3 1366 1345 18 3 3150 1784 1305 26 24 618 8 585 0 94 0 0 0 0 0 0 0 0
1 "ALBA" "MIRÃSLÃU" 1900 1866 28 6 738 704 28 6 2080 1342 703 24 11 190 108 259 0 138 8 0 0 0 0 0 0 0
1 "ALBA" "MOGOª" 799 763 15 21 272 237 15 20 840 568 266 4 2 139 3 78 14 30 2 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL AIUD" 22936 22731 192 13 8222 8017 192 13 25226 17004 7982 145 95 4355 814 1348 0 1367 98 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL ALBA IULIA" 61741 61152 563 26 24070 23481 563 26 67678 43608 23284 636 150 11919 311 7439 586 2937 92 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL BLAJ" 17256 17100 150 6 6822 6666 150 6 19760 12938 6604 142 76 3016 252 2467 0 844 25 0 0 0 0 0 0 0
1 "ALBA" "MUNICIPIUL SEBEª" 26134 25971 153 10 9679 9517 153 9 29509 19830 9286 273 120 4624 52 3008 0 1572 30 0 0 0 0 0 0 0
1 "ALBA" "NOªLAC" 1528 1510 17 1 451 433 17 1 1680 1229 432 5 14 114 63 159 0 96 0 0 0 0 0 0 0 0
1 "ALBA" "OCOLIª" 627 580 22 25 357 310 22 25 610 253 330 15 12 166 4 62 18 77 3 0 0 0 0 0 0 0
1 "ALBA" "OHABA" 676 632 17 27 337 295 17 25 750 413 315 9 13 114 1 131 3 60 6 0 0 0 0 0 0 0
1 "ALBA" "ORAª ABRUD" 4824 4784 36 4 2455 2415 36 4 5290 2835 2389 42 24 1550 72 354 145 265 3 0 0 0 0 0 0 0
1 "ALBA" "ORAª BAIA DE ARIEª" 3713 3612 59 42 1767 1666 59 42 4010 2243 1709 33 25 988 28 307 57 320 9 0 0 0 0 0 0 0
1 "ALBA" "ORAª CÎMPENI" 6734 6647 83 4 3131 3044 83 4 7351 4220 3006 83 42 1974 25 497 110 389 11 0 0 0 0 0 0 0
1 "ALBA" "ORAª CUGIR" 23724 23545 165 14 10236 10059 165 12 26084 15848 9857 253 126 6167 75 1752 292 1546 25 0 0 0 0 0 0 0
1 "ALBA" "ORAª OCNA MUREª" 12566 12473 89 4 4054 3961 89 4 13779 9725 3921 80 53 1953 217 995 0 730 26 0 0 0 0 0 0 0
1 "ALBA" "ORAª TEIUª" 6216 6150 45 21 2503 2438 45 20 6850 4347 2432 46 25 1626 62 358 46 330 10 0 0 0 0 0 0 0
1 "ALBA" "ORAª ZLATNA" 7008 6927 81 0 3356 3275 81 0 7681 4325 3224 83 49 1585 32 991 78 532 6 0 0 0 0 0 0 0
1 "ALBA" "PIANU" 2934 2893 28 13 1075 1036 28 11 3210 2135 1033 20 22 450 6 333 26 217 1 0 0 0 0 0 0 0
1 "ALBA" "POIANA VADULUI" 946 942 4 0 285 281 4 0 1030 745 274 5 6 161 3 64 9 36 1 0 0 0 0 0 0 0
1 "ALBA" "PONOR" 532 514 6 12 199 181 6 12 560 361 190 7 2 105 2 46 2 35 0 0 0 0 0 0 0 0
1 "ALBA" "POªAGA" 1016 951 36 29 568 503 36 29 1065 497 543 10 15 318 4 111 18 88 4 0 0 0 0 0 0 0
1 "ALBA" "RÃDEªTI" 1148 1125 20 3 579 556 20 3 1230 651 557 13 9 234 56 196 0 69 2 0 0 0 0 0 0 0
1 "ALBA" "RIMETEA" 976 968 8 0 363 355 8 0 1070 707 349 7 7 55 193 20 4 10 67 0 0 0 0 0 0 0
1 "ALBA" "RÎMEÞ" 598 550 18 30 261 214 18 29 630 369 241 11 9 164 2 46 6 20 3 0 0 0 0 0 0 0
1 "ALBA" "ROªIA DE SECAª" 1255 1215 16 24 626 586 16 24 1380 754 575 13 38 217 4 222 0 132 0 0 0 0 0 0 0 0
1 "ALBA" "ROªIA MONTANÃ" 2480 2437 43 0 1591 1548 43 0 3581 1990 1506 49 36 572 36 496 85 316 1 0 0 0 0 0 0 0
1 "ALBA" "SÃLCIUA" 1426 1381 13 32 648 603 13 32 1570 922 626 15 7 269 7 239 10 100 1 0 0 0 0 0 0 0
1 "ALBA" "SÃLIªTEA" 1917 1838 32 47 1055 976 32 47 2104 1049 1014 17 24 675 4 179 19 132 5 0 0 0 0 0 0 0
1 "ALBA" "SÃSCIORI" 4693 4664 28 1 1877 1848 28 1 5160 3283 1808 52 17 679 5 796 33 294 1 0 0 0 0 0 0 0
1 "ALBA" "SCÃRIªOARA" 1442 1386 32 24 717 661 32 24 1590 873 673 32 12 500 7 61 16 89 0 0 0 0 0 0 0 0
1 "ALBA" "SÎNCEL" 2206 2165 8 33 895 854 8 33 2420 1525 850 13 32 476 6 226 0 142 0 0 0 0 0 0 0 0
1 "ALBA" "SÎNTIMBRU" 2490 2471 18 1 786 767 18 1 2738 1952 759 14 13 415 7 191 17 129 0 0 0 0 0 0 0 0
1 "ALBA" "SOHODOL" 1562 1535 27 0 633 606 27 0 1710 1077 606 15 12 348 5 117 43 89 4 0 0 0 0 0 0 0
1 "ALBA" "STREMÞ" 2160 2113 17 30 1004 959 17 28 2370 1366 963 25 16 659 6 122 26 148 2 0 0 0 0 0 0 0
1 "ALBA" "ªIBOT" 2154 2134 19 1 970 950 19 1 2370 1400 923 29 18 480 4 281 21 137 0 0 0 0 0 0 0 0
1 "ALBA" "ªONA" 3664 3633 31 0 1296 1265 31 0 4010 2714 1228 48 20 394 171 402 0 252 9 0 0 0 0 0 0 0
1 "ALBA" "ªPRING" 2105 2081 20 4 939 915 20 4 2320 1381 894 22 23 466 1 266 0 160 1 0 0 0 0 0 0 0
1 "ALBA" "ªUGAG" 2351 2331 18 2 1137 1117 18 2 2590 1453 1094 22 21 537 2 383 20 151 1 0 0 0 0 0 0 0
1 "ALBA" "UNIREA" 4310 4239 66 5 1293 1222 66 5 4709 3416 1247 14 32 474 132 370 0 260 11 0 0 0 0 0 0 0
1 "ALBA" "VADU  MOÞILOR" 1147 1145 2 0 502 500 2 0 1260 758 476 8 18 347 2 77 15 34 1 0 0 0 0 0 0 0
1 "ALBA" "VALEA LUNGÃ" 2362 2302 55 5 1155 1095 55 5 2740 1585 1104 19 32 426 13 541 0 119 5 0 0 0 0 0 0 0
1 "ALBA" "VIDRA" 1472 1453 19 0 674 655 19 0 1610 936 625 12 37 341 6 185 31 59 3 0 0 0 0 0 0 0
1 "ALBA" "VINÞU DE JOS" 4496 4430 61 5 1724 1658 61 5 4909 3185 1659 34 31 980 17 301 52 307 2 0 0 0 0 0 0 0
2 "ARAD" "ALMAª" 2241 2203 38 0 848 810 38 0 2420 1572 829 12 7 356 5 346 0 115 1 6 0 0 0 0 0 0
2 "ARAD" "APATEU" 2856 2832 15 9 970 946 15 9 3130 2160 944 13 13 416 18 399 0 102 4 5 0 0 0 0 0 0
2 "ARAD" "ARCHIª" 1280 1271 9 0 692 683 9 0 1400 708 674 9 9 446 0 185 0 41 0 2 0 0 0 0 0 0
2 "ARAD" "BATA" 877 857 16 4 401 381 16 4 960 559 387 10 4 156 0 179 0 51 1 0 0 0 0 0 0 0
2 "ARAD" "BÂRSA" 1585 1556 28 1 756 727 28 1 1705 949 739 8 9 292 5 332 0 109 0 1 0 0 0 0 0 0
2 "ARAD" "BÂRZAVA" 2368 2201 57 110 1132 965 57 110 2500 1368 1110 13 9 780 7 140 0 162 1 20 0 0 0 0 0 0
2 "ARAD" "BELIU" 2599 2570 19 10 1335 1306 19 10 2837 1502 1311 19 5 580 5 571 0 152 0 3 0 0 0 0 0 0
2 "ARAD" "BIRCHIª" 1530 1519 10 1 624 613 10 1 1680 1056 609 9 6 360 2 161 0 84 1 1 0 0 0 0 0 0
2 "ARAD" "BOCSIG" 2859 2833 26 0 1048 1022 26 0 3120 2072 1027 15 6 476 10 321 0 216 1 3 0 0 0 0 0 0
2 "ARAD" "BRAZII" 1033 992 40 1 453 412 40 1 1090 637 439 9 5 215 3 133 0 86 0 2 0 0 0 0 0 0
2 "ARAD" "BUTENI" 2901 2771 31 99 1457 1333 31 93 3150 1693 1420 31 6 902 4 339 0 158 4 13 0 0 0 0 0 0
